CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
35215020,AEROPUERTO YOPAL - AUT [35215020],5.3204444440,-72.3875,325,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Yopal,17/11/2005 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1974-12-01 00:00,0.2,4,,900
35215020,AEROPUERTO YOPAL - AUT [35215020],5.3204444440,-72.3875,325,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Yopal,17/11/2005 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1975-01-01 00:00,0,50,,900
35215020,AEROPUERTO YOPAL - AUT [35215020],5.3204444440,-72.3875,325,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Yopal,17/11/2005 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1975-02-01 00:00,0,50,,900
35215020,AEROPUERTO YOPAL - AUT [35215020],5.3204444440,-72.3875,325,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Yopal,17/11/2005 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1975-03-01 00:00,20,50,,900
35215020,AEROPUERTO YOPAL - AUT [35215020],5.3204444440,-72.3875,325,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Yopal,17/11/2005 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1975-04-01 00:00,220.8,50,,900
35215020,AEROPUERTO YOPAL - AUT [35215020],5.3204444440,-72.3875,325,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Yopal,17/11/2005 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1975-05-01 00:00,275.2,50,,900
35215020,AEROPUERTO YOPAL - AUT [35215020],5.3204444440,-72.3875,325,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Yopal,17/11/2005 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1975-06-01 00:00,148,4,,900
35215020,AEROPUERTO YOPAL - AUT [35215020],5.3204444440,-72.3875,325,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Yopal,17/11/2005 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1975-07-01 00:00,258.3,50,,900
35215020,AEROPUERTO YOPAL - AUT [35215020],5.3204444440,-72.3875,325,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Yopal,17/11/2005 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1975-08-01 00:00,202.7,50,,900
35215020,AEROPUERTO YOPAL - AUT [35215020],5.3204444440,-72.3875,325,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Yopal,17/11/2005 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1975-09-01 00:00,213.8,50,,900
