system:time_start,scaled_EVI
"Feb 18, 2000",0.225
"Mar 5, 2000",0.214
"Mar 21, 2000",0.205
"Apr 6, 2000",0.278
"Apr 22, 2000",0.347
"May 8, 2000",0.38
"May 24, 2000",0.356
"Jun 9, 2000",0.358
"Jun 25, 2000",0.353
"Jul 11, 2000",0.369
"Jul 27, 2000",0.337
"Aug 12, 2000",0.364
"Aug 28, 2000",0.369
"Sep 13, 2000",0.355
"Sep 29, 2000",0.347
"Oct 15, 2000",0.356
"Oct 31, 2000",0.333
"Nov 16, 2000",0.319
"Dec 2, 2000",0.327
"Dec 18, 2000",0.331
"Jan 1, 2001",0.302
"Jan 17, 2001",0.283
"Feb 2, 2001",0.267
"Feb 18, 2001",0.232
"Mar 6, 2001",0.229
"Mar 22, 2001",0.268
"Apr 7, 2001",0.295
"Apr 23, 2001",0.31
"May 9, 2001",0.374
"May 25, 2001",0.423
"Jun 10, 2001",0.491
"Jun 26, 2001",0.374
"Jul 12, 2001",0.364
"Jul 28, 2001",0.347
"Aug 13, 2001",0.338
"Aug 29, 2001",0.372
"Sep 14, 2001",0.351
"Sep 30, 2001",0.35
"Oct 16, 2001",0.35
"Nov 1, 2001",0.325
"Nov 17, 2001",0.323
"Dec 3, 2001",0.36
"Dec 19, 2001",0.329
"Jan 1, 2002",0.331
"Jan 17, 2002",0.303
"Feb 2, 2002",0.278
"Feb 18, 2002",0.252
"Mar 6, 2002",0.221
"Mar 22, 2002",0.28
"Apr 7, 2002",0.305
"Apr 23, 2002",0.364
"May 9, 2002",0.374
"May 25, 2002",0.377
"Jun 10, 2002",0.401
"Jun 26, 2002",0.339
"Jul 12, 2002",0.373
"Jul 28, 2002",0.338
"Aug 13, 2002",0.381
"Aug 29, 2002",0.385
"Sep 14, 2002",0.351
"Sep 30, 2002",0.346
"Oct 16, 2002",0.331
"Nov 1, 2002",0.346
"Nov 17, 2002",0.345
"Dec 3, 2002",0.321
"Dec 19, 2002",0.312
"Jan 1, 2003",0.298
"Jan 17, 2003",0.272
"Feb 2, 2003",0.244
"Feb 18, 2003",0.225
"Mar 6, 2003",0.228
"Mar 22, 2003",0.272
"Apr 7, 2003",0.307
"Apr 23, 2003",0.37
"May 9, 2003",0.36
"May 25, 2003",0.339
"Jun 10, 2003",0.358
"Jun 26, 2003",0.378
"Jul 12, 2003",0.341
"Jul 28, 2003",0.342
"Aug 13, 2003",0.373
"Aug 29, 2003",0.358
"Sep 14, 2003",0.342
"Sep 30, 2003",0.331
"Oct 16, 2003",0.341
"Nov 1, 2003",0.335
"Nov 17, 2003",0.349
"Dec 3, 2003",0.304
"Dec 19, 2003",0.319
"Jan 1, 2004",0.318
"Jan 17, 2004",0.287
"Feb 2, 2004",0.252
"Feb 18, 2004",0.209
"Mar 5, 2004",0.232
"Mar 21, 2004",0.276
"Apr 6, 2004",0.306
"Apr 22, 2004",0.366
"May 8, 2004",0.335
"May 24, 2004",0.38
"Jun 9, 2004",0.384
"Jun 25, 2004",0.35
"Jul 11, 2004",0.354
"Jul 27, 2004",0.356
"Aug 12, 2004",0.346
"Aug 28, 2004",0.384
"Sep 13, 2004",0.334
"Sep 29, 2004",0.386
