system:time_start,scaled_EVI
"Feb 18, 2000",0.244
"Mar 5, 2000",0.248
"Mar 21, 2000",0.221
"Apr 6, 2000",0.307
"Apr 22, 2000",0.408
"May 8, 2000",0.444
"May 24, 2000",0.416
"Jun 9, 2000",0.401
"Jun 25, 2000",0.389
"Jul 11, 2000",0.408
"Jul 27, 2000",0.358
"Aug 12, 2000",0.424
"Aug 28, 2000",0.428
"Sep 13, 2000",0.404
"Sep 29, 2000",0.4
"Oct 15, 2000",0.446
"Oct 31, 2000",0.389
"Nov 16, 2000",0.397
"Dec 2, 2000",0.373
"Dec 18, 2000",0.381
"Jan 1, 2001",0.361
"Jan 17, 2001",0.33
"Feb 2, 2001",0.307
"Feb 18, 2001",0.248
"Mar 6, 2001",0.323
"Mar 22, 2001",0.353
"Apr 7, 2001",0.392
"Apr 23, 2001",0.412
"May 9, 2001",0.407
"May 25, 2001",0.44
"Jun 10, 2001",0.517
"Jun 26, 2001",0.412
"Jul 12, 2001",0.42
"Jul 28, 2001",0.392
"Aug 13, 2001",0.412
"Aug 29, 2001",0.42
"Sep 14, 2001",0.397
"Sep 30, 2001",0.424
"Oct 16, 2001",0.396
"Nov 1, 2001",0.361
"Nov 17, 2001",0.381
"Dec 3, 2001",0.416
"Dec 19, 2001",0.385
"Jan 1, 2002",0.389
"Jan 17, 2002",0.346
"Feb 2, 2002",0.318
"Feb 18, 2002",0.283
"Mar 6, 2002",0.264
"Mar 22, 2002",0.334
"Apr 7, 2002",0.377
"Apr 23, 2002",0.509
"May 9, 2002",0.408
"May 25, 2002",0.428
"Jun 10, 2002",0.478
"Jun 26, 2002",0.365
"Jul 12, 2002",0.396
"Jul 28, 2002",0.381
"Aug 13, 2002",0.439
"Aug 29, 2002",0.436
"Sep 14, 2002",0.416
"Sep 30, 2002",0.412
"Oct 16, 2002",0.424
"Nov 1, 2002",0.416
"Nov 17, 2002",0.408
"Dec 3, 2002",0.373
"Dec 19, 2002",0.365
"Jan 1, 2003",0.35
"Jan 17, 2003",0.307
"Feb 2, 2003",0.271
"Feb 18, 2003",0.24
"Mar 6, 2003",0.26
"Mar 22, 2003",0.33
"Apr 7, 2003",0.377
"Apr 23, 2003",0.447
"May 9, 2003",0.428
"May 25, 2003",0.358
"Jun 10, 2003",0.385
"Jun 26, 2003",0.408
"Jul 12, 2003",0.348
"Jul 28, 2003",0.373
"Aug 13, 2003",0.412
"Aug 29, 2003",0.404
"Sep 14, 2003",0.396
"Sep 30, 2003",0.4
"Oct 16, 2003",0.4
"Nov 1, 2003",0.388
"Nov 17, 2003",0.42
"Dec 3, 2003",0.381
"Dec 19, 2003",0.342
"Jan 1, 2004",0.373
"Jan 17, 2004",0.334
"Feb 2, 2004",0.303
"Feb 18, 2004",0.228
"Mar 5, 2004",0.279
"Mar 21, 2004",0.346
"Apr 6, 2004",0.413
"Apr 22, 2004",0.459
"May 8, 2004",0.353
"May 24, 2004",0.408
"Jun 9, 2004",0.428
"Jun 25, 2004",0.389
"Jul 11, 2004",0.369
"Jul 27, 2004",0.416
"Aug 12, 2004",0.404
"Aug 28, 2004",0.416
"Sep 13, 2004",0.385
"Sep 29, 2004",0.439
"Oct 15, 2004",0.42
"Oct 31, 2004",0.412
"Nov 16, 2004",0.386
"Dec 2, 2004",0.377
"Dec 18, 2004",0.385
"Jan 1, 2005",0.358
"Jan 17, 2005",0.361
"Feb 2, 2005",0.322
"Feb 18, 2005",0.338
"Mar 6, 2005",0.322
"Mar 22, 2005",0.408
"Apr 7, 2005",0.357
"Apr 23, 2005",0.451
"May 9, 2005",0.447
"May 25, 2005",0.451
"Jun 10, 2005",0.408
"Jun 26, 2005",0.377
"Jul 12, 2005",0.361
"Jul 28, 2005",0.409
"Aug 13, 2005",0.396
"Aug 29, 2005",0.412
"Sep 14, 2005",0.439
"Sep 30, 2005",0.404
"Oct 16, 2005",0.431
"Nov 1, 2005",0.405
"Nov 17, 2005",0.4
"Dec 3, 2005",0.369
"Dec 19, 2005",0.361
"Jan 1, 2006",0.318
"Jan 17, 2006",0.318
"Feb 2, 2006",0.346
"Feb 18, 2006",0.299
"Mar 6, 2006",0.302
"Mar 22, 2006",0.409
"Apr 7, 2006",0.35
"Apr 23, 2006",0.389
"May 9, 2006",0.377
"May 25, 2006",0.431
"Jun 10, 2006",0.404
"Jun 26, 2006",0.357
"Jul 12, 2006",0.349
"Jul 28, 2006",0.357
"Aug 13, 2006",0.4
"Aug 29, 2006",0.42
"Sep 14, 2006",0.42
"Sep 30, 2006",0.459
"Oct 16, 2006",0.44
"Nov 1, 2006",0.389
"Nov 17, 2006",0.432
"Dec 3, 2006",0.385
"Dec 19, 2006",0.361
"Jan 1, 2007",0.342
"Jan 17, 2007",0.31
"Feb 2, 2007",0.295
"Feb 18, 2007",0.271
"Mar 6, 2007",0.228
"Mar 22, 2007",0.435
"Apr 7, 2007",0.361
"Apr 23, 2007",0.435
"May 9, 2007",0.381
"May 25, 2007",0.404
"Jun 10, 2007",0.467
"Jun 26, 2007",0.401
"Jul 12, 2007",0.424
"Jul 28, 2007",0.408
"Aug 13, 2007",0.404
"Aug 29, 2007",0.432
"Sep 14, 2007",0.373
"Sep 30, 2007",0.372
"Oct 16, 2007",0.381
"Nov 1, 2007",0.413
"Nov 17, 2007",0.393
"Dec 3, 2007",0.361
"Dec 19, 2007",0.361
"Jan 1, 2008",0.354
"Jan 17, 2008",0.338
"Feb 2, 2008",0.295
"Feb 18, 2008",0.279
"Mar 5, 2008",0.256
"Mar 21, 2008",0.267
"Apr 6, 2008",0.248
"Apr 22, 2008",0.295
"May 8, 2008",0.451
"May 24, 2008",0.428
"Jun 9, 2008",0.459
"Jun 25, 2008",0.459
"Jul 11, 2008",0.424
"Jul 27, 2008",0.416
"Aug 12, 2008",0.428
"Aug 28, 2008",0.397
"Sep 13, 2008",0.447
"Sep 29, 2008",0.443
"Oct 15, 2008",0.444
"Oct 31, 2008",0.42
"Nov 16, 2008",0.381
"Dec 2, 2008",0.385
"Dec 18, 2008",0.361
"Jan 1, 2009",0.334
"Jan 17, 2009",0.338
"Feb 2, 2009",0.346
"Feb 18, 2009",0.322
"Mar 6, 2009",0.279
"Mar 22, 2009",0.326
"Apr 7, 2009",0.326
"Apr 23, 2009",0.459
"May 9, 2009",0.428
"May 25, 2009",0.432
"Jun 10, 2009",0.396
"Jun 26, 2009",0.439
"Jul 12, 2009",0.4
"Jul 28, 2009",0.412
"Aug 13, 2009",0.412
"Aug 29, 2009",0.4
"Sep 14, 2009",0.404
"Sep 30, 2009",0.432
"Oct 16, 2009",0.42
"Nov 1, 2009",0.416
"Nov 17, 2009",0.393
"Dec 3, 2009",0.373
"Dec 19, 2009",0.353
"Jan 1, 2010",0.346
"Jan 17, 2010",0.299
"Feb 2, 2010",0.283
"Feb 18, 2010",0.315
"Mar 6, 2010",0.427
"Mar 22, 2010",0.408
"Apr 7, 2010",0.424
"Apr 23, 2010",0.471
"May 9, 2010",0.451
"May 25, 2010",0.416
"Jun 10, 2010",0.427
"Jun 26, 2010",0.424
"Jul 12, 2010",0.451
"Jul 28, 2010",0.392
"Aug 13, 2010",0.385
"Aug 29, 2010",0.404
"Sep 14, 2010",0.424
"Sep 30, 2010",0.448
"Oct 16, 2010",0.401
"Nov 1, 2010",0.381
"Nov 17, 2010",0.455
"Dec 3, 2010",0.373
"Dec 19, 2010",0.377
"Jan 1, 2011",0.385
"Jan 17, 2011",0.369
"Feb 2, 2011",0.314
"Feb 18, 2011",0.314
"Mar 6, 2011",0.303
"Mar 22, 2011",0.342
"Apr 7, 2011",0.431
"Apr 23, 2011",0.51
"May 9, 2011",0.427
"May 25, 2011",0.451
"Jun 10, 2011",0.432
"Jun 26, 2011",0.428
"Jul 12, 2011",0.4
"Jul 28, 2011",0.432
"Aug 13, 2011",0.377
"Aug 29, 2011",0.416
"Sep 14, 2011",0.494
"Sep 30, 2011",0.455
"Oct 16, 2011",0.428
"Nov 1, 2011",0.443
"Nov 17, 2011",0.455
"Dec 3, 2011",0.416
"Dec 19, 2011",0.377
"Jan 1, 2012",0.365
"Jan 17, 2012",0.346
"Feb 2, 2012",0.33
"Feb 18, 2012",0.318
"Mar 5, 2012",0.295
"Mar 21, 2012",0.357
"Apr 6, 2012",0.372
"Apr 22, 2012",0.443
"May 8, 2012",0.495
"May 24, 2012",0.365
"Jun 9, 2012",0.377
"Jun 25, 2012",0.428
"Jul 11, 2012",0.428
"Jul 27, 2012",0.393
"Aug 12, 2012",0.439
"Aug 28, 2012",0.412
"Sep 13, 2012",0.42
"Sep 29, 2012",0.35
"Oct 15, 2012",0.424
"Oct 31, 2012",0.428
"Nov 16, 2012",0.389
"Dec 2, 2012",0.377
"Dec 18, 2012",0.361
"Jan 1, 2013",0.361
"Jan 17, 2013",0.33
"Feb 2, 2013",0.291
"Feb 18, 2013",0.24
"Mar 6, 2013",0.42
"Mar 22, 2013",0.412
"Apr 7, 2013",0.416
"Apr 23, 2013",0.471
"May 9, 2013",0.393
"May 25, 2013",0.514
"Jun 10, 2013",0.439
"Jun 26, 2013",0.408
"Jul 12, 2013",0.388
"Jul 28, 2013",0.386
"Aug 13, 2013",0.416
"Aug 29, 2013",0.42
"Sep 14, 2013",0.432
"Sep 30, 2013",0.393
"Oct 16, 2013",0.446
"Nov 1, 2013",0.448
"Nov 17, 2013",0.353
"Dec 3, 2013",0.381
"Dec 19, 2013",0.393
