SEAS	YR	TOTAL	ANOM	mmonth	status	ma_status	fstatus	month_num	year_month_index
DJF	1950	24.72	-1.53	J	-1		Normal	1	Jan-50
JFM	1950	25.17	-1.34	F	-1		Normal	2	Feb-50
FMA	1950	25.75	-1.16	M	-1	-3	La Niña	3	Mar-50
MAM	1950	26.12	-1.18	A	-1	-3	La Niña	4	Apr-50
AMJ	1950	26.32	-1.07	M	-1	-3	La Niña	5	May-50
MJJ	1950	26.31	-0.85	J	-1	-3	La Niña	6	Jun-50
JJA	1950	26.21	-0.54	J	-1	-3	La Niña	7	Jul-50
JAS	1950	25.96	-0.42	A	0	-2	Normal	8	Aug-50
ASO	1950	25.76	-0.39	S	0	-1	Normal	9	Sep-50
SON	1950	25.63	-0.44	O	0	0	Normal	10	Oct-50
OND	1950	25.48	-0.6	N	-1	-1	Normal	11	Nov-50
NDJ	1950	25.34	-0.8	D	-1	-2	Normal	12	Dec-50
DJF	1951	25.42	-0.82	J	-1	-3	La Niña	1	Jan-51
JFM	1951	25.96	-0.54	F	-1	-3	La Niña	2	Feb-51
FMA	1951	26.74	-0.17	M	0	-2	Normal	3	Mar-51
MAM	1951	27.48	0.18	A	0	-1	Normal	4	Apr-51
AMJ	1951	27.75	0.36	M	0	0	Normal	5	May-51
MJJ	1951	27.75	0.58	J	1	1	Normal	6	Jun-51
JJA	1951	27.44	0.7	J	1	2	Normal	7	Jul-51
JAS	1951	27.28	0.89	A	1	3	El Niño	8	Aug-51
ASO	1951	27.14	0.99	S	1	3	El Niño	9	Sep-51
SON	1951	27.22	1.15	O	1	3	El Niño	10	Oct-51
OND	1951	27.12	1.04	N	1	3	El Niño	11	Nov-51
NDJ	1951	26.95	0.81	D	1	3	El Niño	12	Dec-51
DJF	1952	26.78	0.53	J	1	3	El Niño	1	Jan-52
JFM	1952	26.87	0.37	F	0	2	Normal	2	Feb-52
FMA	1952	27.25	0.34	M	0	1	Normal	3	Mar-52
MAM	1952	27.6	0.29	A	0	0	Normal	4	Apr-52
AMJ	1952	27.59	0.2	M	0	0	Normal	5	May-52
MJJ	1952	27.17	0	J	0	0	Normal	6	Jun-52
JJA	1952	26.67	-0.08	J	0	0	Normal	7	Jul-52
JAS	1952	26.39	0	A	0	0	Normal	8	Aug-52
ASO	1952	26.3	0.15	S	0	0	Normal	9	Sep-52
SON	1952	26.17	0.1	O	0	0	Normal	10	Oct-52
OND	1952	26.13	0.04	N	0	0	Normal	11	Nov-52
NDJ	1952	26.29	0.15	D	0	0	Normal	12	Dec-52
DJF	1953	26.65	0.4	J	0	0	Normal	1	Jan-53
JFM	1953	27.1	0.6	F	1	1	Normal	2	Feb-53
FMA	1953	27.53	0.63	M	1	2	Normal	3	Mar-53
MAM	1953	27.96	0.66	A	1	3	El Niño	4	Apr-53
AMJ	1953	28.14	0.75	M	1	3	El Niño	5	May-53
MJJ	1953	27.94	0.77	J	1	3	El Niño	6	Jun-53
JJA	1953	27.49	0.75	J	1	3	El Niño	7	Jul-53
JAS	1953	27.12	0.73	A	1	3	El Niño	8	Aug-53
ASO	1953	26.93	0.78	S	1	3	El Niño	9	Sep-53
SON	1953	26.91	0.84	O	1	3	El Niño	10	Oct-53
OND	1953	26.92	0.84	N	1	3	El Niño	11	Nov-53
NDJ	1953	26.95	0.81	D	1	3	El Niño	12	Dec-53
DJF	1954	27	0.76	J	1	3	El Niño	1	Jan-54
JFM	1954	26.97	0.47	F	0	2	Normal	2	Feb-54
FMA	1954	26.86	-0.05	M	0	1	Normal	3	Mar-54
MAM	1954	26.89	-0.41	A	0	0	Normal	4	Apr-54
AMJ	1954	26.85	-0.54	M	-1	-1	Normal	5	May-54
MJJ	1954	26.67	-0.5	J	-1	-2	Normal	6	Jun-54
JJA	1954	26.1	-0.64	J	-1	-3	La Niña	7	Jul-54
JAS	1954	25.54	-0.84	A	-1	-3	La Niña	8	Aug-54
ASO	1954	25.25	-0.9	S	-1	-3	La Niña	9	Sep-54
SON	1954	25.3	-0.77	O	-1	-3	La Niña	10	Oct-54
OND	1954	25.35	-0.73	N	-1	-3	La Niña	11	Nov-54
NDJ	1954	25.48	-0.66	D	-1	-3	La Niña	12	Dec-54
DJF	1955	25.57	-0.68	J	-1	-3	La Niña	1	Jan-55
JFM	1955	25.89	-0.62	F	-1	-3	La Niña	2	Feb-55
FMA	1955	26.22	-0.69	M	-1	-3	La Niña	3	Mar-55
MAM	1955	26.5	-0.8	A	-1	-3	La Niña	4	Apr-55
AMJ	1955	26.6	-0.79	M	-1	-3	La Niña	5	May-55
MJJ	1955	26.45	-0.72	J	-1	-3	La Niña	6	Jun-55
JJA	1955	26.06	-0.68	J	-1	-3	La Niña	7	Jul-55
JAS	1955	25.64	-0.75	A	-1	-3	La Niña	8	Aug-55
ASO	1955	25.06	-1.09	S	-1	-3	La Niña	9	Sep-55
SON	1955	24.65	-1.42	O	-1	-3	La Niña	10	Oct-55
OND	1955	24.41	-1.67	N	-1	-3	La Niña	11	Nov-55
NDJ	1955	24.72	-1.47	D	-1	-3	La Niña	12	Dec-55
DJF	1956	25.23	-1.11	J	-1	-3	La Niña	1	Jan-56
JFM	1956	25.86	-0.76	F	-1	-3	La Niña	2	Feb-56
FMA	1956	26.37	-0.63	M	-1	-3	La Niña	3	Mar-56
MAM	1956	26.82	-0.54	A	-1	-3	La Niña	4	Apr-56
AMJ	1956	26.93	-0.52	M	-1	-3	La Niña	5	May-56
MJJ	1956	26.72	-0.51	J	-1	-3	La Niña	6	Jun-56
JJA	1956	26.23	-0.57	J	-1	-3	La Niña	7	Jul-56
JAS	1956	25.87	-0.55	A	-1	-3	La Niña	8	Aug-56
ASO	1956	25.71	-0.46	S	0	-2	Normal	9	Sep-56
SON	1956	25.67	-0.42	O	0	-1	Normal	10	Oct-56
OND	1956	25.67	-0.43	N	0	0	Normal	11	Nov-56
NDJ	1956	25.77	-0.43	D	0	0	Normal	12	Dec-56
DJF	1957	26.09	-0.25	J	0	0	Normal	1	Jan-57
JFM	1957	26.68	0.06	F	0	0	Normal	2	Feb-57
FMA	1957	27.41	0.41	M	0	0	Normal	3	Mar-57
MAM	1957	28.08	0.72	A	1	1	Normal	4	Apr-57
AMJ	1957	28.37	0.92	M	1	2	Normal	5	May-57
MJJ	1957	28.34	1.11	J	1	3	El Niño	6	Jun-57
JJA	1957	28.06	1.25	J	1	3	El Niño	7	Jul-57
JAS	1957	27.75	1.32	A	1	3	El Niño	8	Aug-57
ASO	1957	27.5	1.33	S	1	3	El Niño	9	Sep-57
SON	1957	27.48	1.39	O	1	3	El Niño	10	Oct-57
OND	1957	27.64	1.53	N	1	3	El Niño	11	Nov-57
NDJ	1957	27.94	1.74	D	1	3	El Niño	12	Dec-57
DJF	1958	28.15	1.81	J	1	3	El Niño	1	Jan-58
JFM	1958	28.27	1.66	F	1	3	El Niño	2	Feb-58
FMA	1958	28.26	1.27	M	1	3	El Niño	3	Mar-58
MAM	1958	28.28	0.93	A	1	3	El Niño	4	Apr-58
AMJ	1958	28.19	0.74	M	1	3	El Niño	5	May-58
MJJ	1958	27.87	0.64	J	1	3	El Niño	6	Jun-58
JJA	1958	27.38	0.57	J	1	3	El Niño	7	Jul-58
JAS	1958	26.85	0.43	A	0	2	Normal	8	Aug-58
ASO	1958	26.56	0.39	S	0	1	Normal	9	Sep-58
SON	1958	26.53	0.44	O	0	0	Normal	10	Oct-58
OND	1958	26.6	0.5	N	1	1	Normal	11	Nov-58
NDJ	1958	26.81	0.61	D	1	2	Normal	12	Dec-58
DJF	1959	26.95	0.61	J	1	3	El Niño	1	Jan-59
JFM	1959	27.24	0.62	F	1	3	El Niño	2	Feb-59
FMA	1959	27.51	0.52	M	1	3	El Niño	3	Mar-59
MAM	1959	27.68	0.33	A	0	2	Normal	4	Apr-59
AMJ	1959	27.65	0.2	M	0	1	Normal	5	May-59
MJJ	1959	27.16	-0.07	J	0	0	Normal	6	Jun-59
JJA	1959	26.63	-0.18	J	0	0	Normal	7	Jul-59
