system:time_start,SPEI_03_month_mean,SPEI_03_month_median,Month,Year
"Jan 1, 2000",-0.822,-0.435,1,2000
"Feb 1, 2000",1.337,1.513,2,2000
"Mar 1, 2000",1.544,1.403,3,2000
"Apr 1, 2000",0.153,-0.018,4,2000
"May 1, 2000",0.277,-0.119,5,2000
"Jun 1, 2000",-0.548,-0.715,6,2000
"Jul 1, 2000",0.315,0.22,7,2000
"Aug 1, 2000",-0.175,-0.056,8,2000
"Sep 1, 2000",0.745,0.822,9,2000
"Oct 1, 2000",0.362,0.443,10,2000
"Nov 1, 2000",0.314,0.289,11,2000
"Dec 1, 2000",-0.393,-0.306,12,2000
"Jan 1, 2001",-0.366,-0.311,1,2001
"Feb 1, 2001",-0.798,-0.848,2,2001
"Mar 1, 2001",-0.556,-0.582,3,2001
"Apr 1, 2001",-0.938,-1.127,4,2001
"May 1, 2001",-0.432,-0.588,5,2001
"Jun 1, 2001",-0.775,-0.833,6,2001
"Jul 1, 2001",-0.509,-0.195,7,2001
"Aug 1, 2001",-0.824,-0.711,8,2001
"Sep 1, 2001",-0.675,-0.626,9,2001
"Oct 1, 2001",-0.994,-1.009,10,2001
"Nov 1, 2001",-0.946,-0.805,11,2001
"Dec 1, 2001",-0.306,-0.271,12,2001
"Jan 1, 2002",-0.064,-0.023,1,2002
"Feb 1, 2002",-0.353,-0.243,2,2002
"Mar 1, 2002",0.132,0.335,3,2002
"Apr 1, 2002",0.797,0.899,4,2002
"May 1, 2002",1.521,1.638,5,2002
"Jun 1, 2002",1.507,1.519,6,2002
"Jul 1, 2002",1.717,1.386,7,2002
"Aug 1, 2002",0.817,0.389,8,2002
"Sep 1, 2002",0.096,-0.172,9,2002
"Oct 1, 2002",-1.208,-1.27,10,2002
"Nov 1, 2002",-0.057,-0.314,11,2002
"Dec 1, 2002",0.046,-0.297,12,2002
"Jan 1, 2003",0.156,-0.091,1,2003
"Feb 1, 2003",-1.34,-1.126,2,2003
"Mar 1, 2003",-1.019,-0.913,3,2003
"Apr 1, 2003",-0.046,0.258,4,2003
"May 1, 2003",-0.207,-0.285,5,2003
"Jun 1, 2003",0.322,0.348,6,2003
"Jul 1, 2003",-0.156,-0.38,7,2003
"Aug 1, 2003",0.241,0.078,8,2003
"Sep 1, 2003",0.322,-0.215,9,2003
"Oct 1, 2003",1.131,0.548,10,2003
"Nov 1, 2003",1.616,1.163,11,2003
"Dec 1, 2003",1.409,1.315,12,2003
"Jan 1, 2004",1.149,1.228,1,2004
"Feb 1, 2004",0.277,0.492,2,2004
"Mar 1, 2004",-0.592,-0.577,3,2004
"Apr 1, 2004",0.443,0.605,4,2004
"May 1, 2004",1.116,1.281,5,2004
"Jun 1, 2004",0.846,0.958,6,2004
"Jul 1, 2004",0.516,0.445,7,2004
"Aug 1, 2004",-0.28,-0.447,8,2004
"Sep 1, 2004",0.396,0.383,9,2004
"Oct 1, 2004",0.168,0.287,10,2004
"Nov 1, 2004",0.352,0.482,11,2004
"Dec 1, 2004",0.373,0.54,12,2004
"Jan 1, 2005",0.644,0.962,1,2005
"Feb 1, 2005",1.122,1.19,2,2005
"Mar 1, 2005",0.1,0.305,3,2005
"Apr 1, 2005",-0.069,0.138,4,2005
"May 1, 2005",0.22,0.493,5,2005
"Jun 1, 2005",0.607,0.629,6,2005
"Jul 1, 2005",0.408,0.396,7,2005
"Aug 1, 2005",-0.093,-0.052,8,2005
"Sep 1, 2005",-0.573,-0.487,9,2005
"Oct 1, 2005",-0.187,-0.17,10,2005
"Nov 1, 2005",-0.178,0.307,11,2005
"Dec 1, 2005",0.207,0.698,12,2005
"Jan 1, 2006",0.634,0.846,1,2006
"Feb 1, 2006",0.324,0.488,2,2006
"Mar 1, 2006",0.883,1.7,3,2006
"Apr 1, 2006",0.544,1.297,4,2006
"May 1, 2006",0.969,1.267,5,2006
"Jun 1, 2006",0.657,0.765,6,2006
"Jul 1, 2006",0.583,0.543,7,2006
"Aug 1, 2006",-0.166,-0.302,8,2006
"Sep 1, 2006",-0.787,-1.242,9,2006
"Oct 1, 2006",-0.86,-0.793,10,2006
"Nov 1, 2006",-0.538,-0.502,11,2006
"Dec 1, 2006",0.138,0.575,12,2006
"Jan 1, 2007",-0.475,-0.192,1,2007
"Feb 1, 2007",-1.304,-1.236,2,2007
"Mar 1, 2007",-0.323,-0.242,3,2007
"Apr 1, 2007",-0.267,-0.257,4,2007
"May 1, 2007",0.457,0.374,5,2007
"Jun 1, 2007",0.258,0.525,6,2007
"Jul 1, 2007",-0.03,0.006,7,2007
"Aug 1, 2007",0.173,0.075,8,2007
"Sep 1, 2007",-0.126,-0.053,9,2007
"Oct 1, 2007",0.943,1.022,10,2007
"Nov 1, 2007",-0.038,0.009,11,2007
"Dec 1, 2007",1.033,1.031,12,2007
"Jan 1, 2008",-0.018,-0.03,1,2008
"Feb 1, 2008",0.847,0.802,2,2008
"Mar 1, 2008",-0.613,-0.653,3,2008
"Apr 1, 2008",-0.513,-0.679,4,2008
"May 1, 2008",0.218,0.07,5,2008
"Jun 1, 2008",0.958,0.905,6,2008
"Jul 1, 2008",1.689,1.788,7,2008
"Aug 1, 2008",1.676,1.617,8,2008
"Sep 1, 2008",1.307,1.387,9,2008
"Oct 1, 2008",0.32,0.78,10,2008
"Nov 1, 2008",0.691,0.724,11,2008
"Dec 1, 2008",0.996,1.006,12,2008
"Jan 1, 2009",1.645,1.514,1,2009
"Feb 1, 2009",0.725,1.007,2,2009
"Mar 1, 2009",1.427,1.599,3,2009
"Apr 1, 2009",0.313,0.449,4,2009
"May 1, 2009",-0.539,-0.271,5,2009
"Jun 1, 2009",-0.986,-0.774,6,2009
"Jul 1, 2009",-0.809,-0.741,7,2009
"Aug 1, 2009",-0.525,-0.354,8,2009
"Sep 1, 2009",-0.983,-0.737,9,2009
"Oct 1, 2009",-0.995,-0.799,10,2009
"Nov 1, 2009",-1.534,-1.321,11,2009
"Dec 1, 2009",-1.483,-1.175,12,2009
"Jan 1, 2010",-2.385,-2.274,1,2010
"Feb 1, 2010",-1.913,-1.857,2,2010
"Mar 1, 2010",-0.92,-0.935,3,2010
"Apr 1, 2010",0.782,0.851,4,2010
"May 1, 2010",0.916,1.131,5,2010
"Jun 1, 2010",0.987,0.986,6,2010
"Jul 1, 2010",1.178,1.453,7,2010
"Aug 1, 2010",1.375,1.319,8,2010
